pollster,date,sample,approve,disapprove,spread
rcp_average,11/18 - 12/14,,43.8,53.4,+9.6
Rasmussen Reports,12/8 - 12/14,1500 LV,46,52,+6.0
Big Data Poll,12/10 - 12/12,3004 RV,47,50,+3.0
Economist/YouGov,12/5 - 12/8,1380 RV,43,54,+11.0
AP/NORC**,12/4 - 12/8,1146 A,36,61,+25.0
Harvard-Harris,12/2 - 12/4,2204 RV,47,49,+2.0
RMG Research**,12/3 - 12/11,3000 RV,47,51,+4.0
Morning Consult,12/5 - 12/7,2201 RV,45,52,+7.0
Reuters/Ipsos,12/3 - 12/8,4434 A,41,57,+16.0
Quantus Insights,12/4 - 12/5,1000 RV,43,53,+10.0
Daily Mail,12/3 - 12/5,1000 RV,47,53,+6.0
NBC News Decision Desk,11/20 - 12/8,20252 A,42,58,+16.0
I&amp;I/TIPP,11/25 - 11/29,1483 A,43,47,+4.0
Yahoo News,11/20 - 11/24,1132 RV,44,54,+10.0
InsiderAdvantage,11/20 - 11/21,800 LV,44,49,+5.0
CBS News,11/19 - 11/21,2489 A,40,60,+20.0
Emerson,11/18 - 11/21,1000 RV,45,55,+10.0
Economist/YouGov,11/28 - 12/1,1456 RV,42,56,+14.0
Big Data Poll,11/28 - 12/1,2008 RV,45,51,+6.0
Morning Consult,11/26 - 11/30,2200 RV,45,52,+7.0
RMG Research*,11/19 - 12/4,3000 RV,45,53,+8.0
Economist/YouGov,11/21 - 11/24,1511 RV,43,56,+13.0
Morning Consult,11/21 - 11/23,2200 RV,45,52,+7.0
Big Data Poll,11/20 - 11/21,2006 RV,45,50,+5.0
Daily Mail,11/19 - 11/20,1246 RV,45,55,+10.0
Economist/YouGov,11/15 - 11/17,1382 RV,43,56,+13.0
FOX News,11/14 - 11/17,1005 RV,41,58,+17.0
RMG Research*,11/12 - 11/20,3000 R,46,53,+7.0
Gallup,11/3 - 11/25,1321 A,36,60,+24.0
Reuters/Ipsos,11/14 - 11/17,1017 A,38,60,+22.0
Morning Consult,11/14 - 11/16,2201 RV,46,52,+6.0
NPR/PBS/Marist,11/10 - 11/13,1291 RV,40,57,+17.0
Quantus Insights,11/11 - 11/12,1000 RV,43,55,+12.0
Reuters/Ipsos,11/7 - 11/12,938 RV,40,58,+18.0
Marquette,11/5 - 11/12,1052 A,43,57,+14.0
Economist/YouGov,11/7 - 11/10,1500 RV,43,55,+12.0
Morning Consult,11/7 - 11/9,2201 RV,44,54,+10.0
RMG Research*,11/5 - 11/13,3000 RV,49,50,+1.0
AP/NORC**,11/6 - 11/10,1143 A,36,62,+26.0
Harvard-Harris,11/4 - 11/6,2000 RV,44,51,+7.0
Emerson,11/3 - 11/4,1000 RV,41,49,+8.0
Economist/YouGov,10/31 - 11/3,1475 RV,43,55,+12.0
Morning Consult,10/31 - 11/2,2202 RV,45,52,+7.0
RMG Research*,10/29 - 11/6,3000 RV,46,51,+5.0
CBS News,10/29 - 10/31,2124 A,41,59,+18.0
I&amp;I/TIPP,10/28 - 10/31,1418 A,40,51,+11.0
CNN,10/27 - 10/30,954 RV,39,61,+22.0
NewsNation,10/27 - 10/29,1159 LV,43,56,+13.0
Big Data Poll,10/26 - 10/28,2984 RV,45,51,+6.0
RMG Research*,10/22 - 10/30,3000 RV,48,49,+1.0
ABC/Wash Post/Ipsos,10/24 - 10/28,2203 RV,43,57,+14.0
NBC News,10/24 - 10/28,1000 RV,43,55,+12.0
Economist/YouGov,10/24 - 10/27,1476 RV,43,55,+12.0
Morning Consult,10/24 - 10/26,2202 RV,46,51,+5.0
Reuters/Ipsos,10/24 - 10/26,1018 A,40,57,+17.0
Yahoo News,10/23 - 10/27,1197 RV,43,55,+12.0
Economist/YouGov,10/17 - 10/20,1448 RV,43,55,+12.0
RMG Research*,10/15 - 10/22,3000 RV,51,47,+4.0
Morning Consult,10/17 - 10/19,2200 RV,46,51,+5.0
Quinnipiac,10/16 - 10/20,1327 RV,40,54,+14.0
Reuters/Ipsos,10/15 - 10/20,4385 A,42,56,+14.0
Daily Mail,10/14 - 10/15,1004 RV,51,49,+2.0
Emerson,10/13 - 10/14,1000 RV,45,48,+3.0
RMG Research*,10/8 - 10/16,3000 RV,52,47,+5.0
Gallup,10/1 - 10/16,1000 A,41,54,+13.0
Economist/YouGov,10/10 - 10/13,1467 RV,44,54,+10.0
Morning Consult,10/10 - 10/12,2202 RV,45,53,+8.0
AP/NORC**,10/9 - 10/13,1289 A,37,61,+24.0
CNBC,10/8 - 10/12,1000 A,44,52,+8.0
Quantus Insights,10/6 - 10/8,1000 RV,47,51,+4.0
Reuters/Ipsos,10/3 - 10/7,1154 A,40,58,+18.0
Economist/YouGov,10/4 - 10/6,1490 RV,43,55,+12.0
Rasmussen Reports,10/1 - 10/7,1500 LV,48,50,+2.0
Morning Consult,10/3 - 10/5,2200 RV,46,52,+6.0
RMG Research*,10/1 - 10/9,3000 RV,51,48,+3.0
CBS News,10/1 - 10/3,2441 A,42,58,+16.0
Harvard-Harris,10/1 - 10/2,2413 RV,46,50,+4.0
InsiderAdvantage,9/29 - 9/30,800 LV,52,46,+6.0
I&amp;I/TIPP,9/30 - 10/2,1459 A,42,46,+4.0
Economist/YouGov,9/26 - 9/29,1518 RV,43,54,+11.0
Rasmussen Reports,9/24 - 9/30,1500 LV,49,48,+1.0
Morning Consult,9/26 - 9/28,2202 RV,46,52,+6.0
Yahoo News,9/25 - 9/29,1129 RV,44,55,+11.0
RMG Research*,9/23 - 10/1,3000 RV,51,48,+3.0
Pew Research,9/22 - 9/28,3445 A,40,58,+18.0
NY Times/Siena,9/22 - 9/27,1313 RV,43,54,+11.0
NPR/PBS/Marist,9/22 - 9/26,1329 RV,42,53,+11.0
Economist/YouGov,9/19 - 9/22,1392 RV,43,55,+12.0
Quantus Insights,9/19 - 9/21,1000 LV,48,50,+2.0
Morning Consult,9/19 - 9/21,2201 RV,46,52,+6.0
Reuters/Ipsos,9/19 - 9/21,1019 A,41,58,+17.0
RMG Research*,9/17 - 9/24,3000 RV,50,49,+1.0
Rasmussen Reports,9/17 - 9/23,1500 LV,48,50,+2.0
Marquette,9/15 - 9/24,1043 A,43,57,+14.0
Quinnipiac,9/18 - 9/21,1276 RV,38,54,+16.0
Atlas Intel,9/12 - 9/16,1066 A,47,52,+5.0
Economist/YouGov,9/12 - 9/15,1420 RV,43,55,+12.0
Morning Consult,9/12 - 9/14,2204 RV,46,52,+6.0
RMG Research*,9/10 - 9/17,3000 RV,51,47,+4.0
Wash Post/Ipsos,9/11 - 9/15, RV,45,55,+10.0
AP/NORC**,9/11 - 9/15,1183 A,39,60,+21.0
FOX News,9/6 - 9/9,1004 RV,46,54,+8.0
Gallup,9/2 - 9/16,1000 A,40,56,+16.0
RMG Research*,9/3 - 9/11,3000 RV,50,48,+2.0
Rasmussen Reports,9/4 - 9/10,1500 LV,48,51,+3.0
Reuters/Ipsos,9/5 - 9/9,1084 A,42,56,+14.0
Economist/YouGov,9/5 - 9/8,1487 RV,43,54,+11.0
Morning Consult,9/5 - 9/7,2200 RV,45,52,+7.0
CBS News,9/3 - 9/5,2385 A,44,56,+12.0
Economist/YouGov,8/29 - 9/2,1549 RV,44,55,+11.0
Yahoo News,8/29 - 9/2,1138 RV,42,56,+14.0
RMG Research*,8/27 - 9/3,3000 RV,50,48,+2.0
Rasmussen Reports,8/28 - 9/3,1500 LV,48,51,+3.0
Morning Consult,8/29 - 8/31,2202 RV,46,51,+5.0
I&amp;I/TIPP,8/27 - 8/29,1362 A,43,47,+4.0
Daily Mail,8/21 - 9/1,867 RV,55,45,+10.0
Emerson,8/25 - 8/26,1000 RV,45,47,+2.0
Quantus Insights,8/25 - 8/26,1000 RV,48,51,+3.0
RMG Research*,8/21 - 8/28,3000 RV,50,49,+1.0
Economist/YouGov,8/22 - 8/25,1377 RV,43,55,+12.0
Morning Consult,8/22 - 8/24,2200 RV,47,51,+4.0
Rasmussen Reports,8/20 - 8/26,1500 LV,49,50,+1.0
Reuters/Ipsos,8/22 - 8/24,1022 A,40,54,+14.0
AP/NORC**,8/21 - 8/25,1182 A,45,53,+8.0
Quinnipiac,8/21 - 8/25,1220 RV,37,55,+18.0
Harvard-Harris,8/20 - 8/21,2025 RV,47,49,+2.0
NBC News Decision Desk,8/13 - 9/1,30196 A,43,57,+14.0
InsiderAdvantage,8/15 - 8/17,1000 LV,54,44,+10.0
RMG Research*,8/13 - 8/21,3000 RV,49,48,+1.0
Morning Consult,8/15 - 8/17,2201 RV,47,51,+4.0
Economist/YouGov,8/15 - 8/18,1408 RV,43,54,+11.0
Rasmussen Reports,8/13 - 8/19,1500 LV,49,49,
Reuters/Ipsos,8/13 - 8/18,4446 A,40,54,+14.0
Quantus Insights,8/11 - 8/13,1000 RV,47,51,+4.0
Economist/YouGov,8/9 - 8/11,1474 RV,44,53,+9.0
RMG Research*,8/6 - 8/14,3000 RV,48,50,+2.0
Morning Consult,8/8 - 8/10,2200 RV,45,51,+6.0
Gallup,8/1 - 8/20,1094 A,40,56,+16.0
Rasmussen Reports,8/6 - 8/12,1500 LV,49,49,
Pew Research,8/4 - 8/10,3554 A,38,60,+22.0
Economist/YouGov,8/1 - 8/4,1528 RV,43,55,+12.0
RMG Research*,7/30 - 8/7,3000 RV,50,49,+1.0
Morning Consult,8/1 - 8/3,2201 RV,45,52,+7.0
Rasmussen Reports,7/30 - 8/5,1500 LV,47,51,+4.0
CNBC,7/29 - 8/3,1000 A,46,51,+5.0
IBD/TIPP,7/30 - 8/1,1362 RV,45,46,+1.0
Economist/YouGov,7/25 - 7/28,1610 RV,44,53,+9.0
Reuters/Ipsos,7/25 - 7/27,1023 A,40,56,+16.0
RMG Research*,7/23 - 7/31,3000 RV,50,48,+2.0
Rasmussen Reports,7/23 - 7/29,1500 LV,48,51,+3.0
Morning Consult,7/25 - 7/27,2203 RV,47,50,+3.0
Yahoo News,7/24 - 7/28,1168 RV,44,54,+10.0
Trafalgar/InsiderAdvantage,7/22 - 7/23,1200 LV,50,48,+2.0
Quantus Insights,7/21 - 7/23,1123 RV,47,50,+3.0
Daily Mail,7/21 - 7/22,1007 RV,49,51,+2.0
Emerson,7/21 - 7/22,1400 RV,46,47,+1.0
Economist/YouGov,7/18 - 7/21,1551 RV,43,56,+13.0
FOX News,7/18 - 7/21,1000 RV,46,54,+8.0
RMG Research*,7/16 - 7/24,3000 RV,50,48,+2.0
Rasmussen Reports,7/16 - 7/22,1500 LV,50,49,+1.0
Morning Consult,7/18 - 7/20,2202 RV,45,52,+7.0
Wall Street Journal,7/16 - 7/20,1500 RV,46,52,+6.0
CBS News,7/16 - 7/18,2343 A,42,58,+16.0
Reuters/Ipsos,7/15 - 7/16,1027 A,41,54,+13.0
Quantus Insights,7/14 - 7/16,1000 RV,48,50,+2.0
Atlas Intel,7/13 - 7/18,1935 A,44,55,+11.0
Gallup,7/7 - 7/21,1002 A,37,58,+21.0
Big Data Poll,7/12 - 7/14,3022 RV,48,49,+1.0
AP/NORC**,7/10 - 7/14,1437 A,40,58,+18.0
Marquette,7/7 - 7/16,1005 A,45,55,+10.0
Economist/YouGov,7/11 - 7/14,1506 RV,43,54,+11.0
RMG Research*,7/9 - 7/16,3000 RV,52,48,+4.0
Morning Consult,7/11 - 7/13,2201 RV,47,50,+3.0
Rasmussen Reports,7/9 - 7/15,1500 LV,48,50,+2.0
Quinnipiac,7/10 - 7/14,1290 RV,40,54,+14.0
CNN,7/10 - 7/13, RV,44,56,+12.0
Daily Mail,7/9 - 7/10,1013 RV,48,52,+4.0
Harvard-Harris,7/6 - 7/8,2044 RV,47,49,+2.0
Economist/YouGov,7/4 - 7/7,1389 RV,43,54,+11.0
Morning Consult,7/3 - 7/6,2203 RV,45,52,+7.0
Rasmussen Reports,7/2 - 7/8,1500 LV,49,49,
RMG Research*,6/30 - 7/10,3000 RV,50,47,+3.0
Quantus Insights,6/30 - 7/2,1000 RV,47,49,+2.0
Economist/YouGov,6/27 - 6/30,1491 RV,45,53,+8.0
Yahoo News,6/26 - 6/30,1074 RV,45,54,+9.0
Morning Consult,6/27 - 6/29,2202 RV,47,50,+3.0
Rasmussen Reports,6/24 - 6/30,1500 LV,51,47,+4.0
I&amp;I/TIPP,6/25 - 6/27,1421 A,44,45,+1.0
Emerson,6/24 - 6/25,1000 RV,45,46,+1.0
NPR/PBS/Marist,6/23 - 6/25,1206 RV,44,53,+9.0
Quantus Insights,6/23 - 6/25,1000 RV,47,50,+3.0
Quinnipiac,6/22 - 6/24,979 RV,41,54,+13.0
RMG Research*,6/18 - 6/26,3000 RV,51,47,+4.0
Reuters/Ipsos,6/21 - 6/23,1139 A,41,57,+16.0
Economist/YouGov,6/20 - 6/23,1455 RV,43,54,+11.0
Morning Consult,6/20 - 6/22,2205 RV,45,53,+8.0
Rasmussen Reports,6/17 - 6/23,1500 LV,52,47,+5.0
Trafalgar Group,6/18 - 6/20,1085 LV,54,45,+9.0
FOX News,6/13 - 6/16,1003 RV,46,54,+8.0
InsiderAdvantage,6/15 - 6/16,1000 LV,54,44,+10.0
RMG Research*,6/11 - 6/19,3000 RV,53,46,+7.0
Economist/YouGov,6/13 - 6/16,1351 RV,44,53,+9.0
Morning Consult,6/13 - 6/15,2207 RV,46,52,+6.0
Reuters/Ipsos,6/11 - 6/16,4258 A,42,54,+12.0
Rasmussen Reports,6/10 - 6/16,1500 LV,52,47,+5.0
Harvard-Harris,6/11 - 6/12,2097 RV,46,50,+4.0
Daily Mail,6/10 - 6/11,1807 RV,48,52,+4.0
Gallup,6/2 - 6/19,1000 A,40,57,+17.0
Quantus Insights,6/9 - 6/11,1000 RV,48,49,+1.0
Economist/YouGov,6/6 - 6/9,1397 RV,45,53,+8.0
Quinnipiac,6/5 - 6/9,1265 RV,38,54,+16.0
AP/NORC**,6/5 - 6/9,1158 A,39,60,+21.0
Morning Consult,6/6 - 6/8,1867 RV,47,51,+4.0
Rasmussen Reports,6/3 - 6/9,1500 LV,51,48,+3.0
RMG Research*,6/2 - 6/12,3000 RV,52,46,+6.0
Pew Research,6/2 - 6/8,5044 A,41,58,+17.0
CBS News,6/4 - 6/6,2428 A,45,55,+10.0
NBC News Decision Desk,5/30 - 6/10,19410 A,45,55,+10.0
Daily Mail,6/6 - 6/6,1006 RV,47,53,+6.0
Quantus Insights,6/1 - 6/4,1000 RV,49,48,+1.0
Economist/YouGov,5/30 - 6/2,1436 RV,46,51,+5.0
Trafalgar Group,5/30 - 6/1,1098 LV,54,46,+8.0
Morning Consult,5/30 - 6/1,2205 RV,46,51,+5.0
RMG Research*,5/27 - 6/3,3000 RV,51,46,+5.0
I&amp;I/TIPP,5/28 - 5/30,1395 A,43,45,+2.0
Rasmussen Reports,5/25 - 5/29,1500 LV,53,46,+7.0
Economist/YouGov,5/23 - 5/26,1486 RV,46,52,+6.0
Yahoo News,5/22 - 5/27,1560 A ,41,54,+13.0
RMG Research*,5/20 - 5/29,3000 RV,49,50,+1.0
Morning Consult,5/23 - 5/25,2208 RV,48,51,+3.0
Atlas Intel,5/20 - 5/27,3469 A,45,54,+9.0
Rasmussen Reports,5/18 - 5/22,1500 LV,50,49,+1.0
Quantus Insights,5/18 - 5/20,1000 RV,48,48,
Daily Kos/Civiqs,5/17 - 5/20,1018 RV,47,52,+5.0
InsiderAdvantage,5/17 - 5/19,1000 LV,55,44,+11.0
Economist/YouGov,5/16 - 5/19,1558 RV,45,52,+7.0
Morning Consult,5/16 - 5/18,2200 RV,48,50,+2.0
Reuters/Ipsos,5/16 - 5/18,1024 A,42,52,+10.0
RMG Research*,5/14 - 5/21,3000 RV,48,50,+2.0
Harvard-Harris,5/14 - 5/15,1903 RV,47,48,+1.0
Daily Mail,5/13 - 5/14,1003 RV,50,50,
Marquette,5/5 - 5/15,1004 A,46,54,+8.0
Reuters/Ipsos,5/12 - 5/13,1163 A,44,52,+8.0
Rasmussen Reports,5/11 - 5/15,1500 LV,51,48,+3.0
RMG Research*,5/7 - 5/15,3000 RV,52,48,+4.0
Economist/YouGov,5/9 - 5/12,1610 RV,45,52,+7.0
Morning Consult,5/9 - 5/11,2221 RV,46,52,+6.0
Gallup,5/1 - 5/18,1003 A,43,53,+10.0
Quantus Insights,5/5 - 5/7,1000 RV,48,48,
Rasmussen Reports,5/4 - 5/8,1500 LV,51,48,+3.0
Big Data Poll,5/3 - 5/5,3128 RV,48,47,+1.0
Economist/YouGov,5/2 - 5/5,1693 RV,44,52,+8.0
Morning Consult,5/2 - 5/4,2263 RV,46,52,+6.0
AP/NORC,5/1 - 5/5,1175 A,41,57,+16.0
RMG Research*,4/30 - 5/8,3000 RV,49,49,
I&amp;I/TIPP,4/30 - 5/2,1400 A,42,47,+5.0
Trafalgar/InsiderAdvantage,4/30 - 5/1,1200 LV,46,44,+2.0
Rasmussen Reports,4/27 - 5/1,1500 LV,50,49,+1.0
Emerson,4/25 - 4/28,1000 RV,45,45,
Economist/YouGov,4/25 - 4/28,1626 RV,43,54,+11.0
Yahoo News,4/25 - 4/28,1071 RV,45,53,+8.0
Reuters/Ipsos,4/25 - 4/27,1029 A,42,53,+11.0
RMG Research*,4/23 - 5/1,3000 RV,49,48,+1.0
Daily Mail,4/23 - 4/28,1006 RV,45,55,+10.0
NewsNation,4/23 - 4/27,1448 RV,44,56,+12.0
CBS News,4/23 - 4/25,2365 A,45,55,+10.0
NY Times/Siena,4/21 - 4/24,913 RV,42,54,+12.0
Quantus Insights,4/21 - 4/23,1000 RV,48,50,+2.0
NPR/PBS/Marist,4/21 - 4/23,1324 RV,43,53,+10.0
Rasmussen Reports,4/20 - 4/24,1500 LV,47,51,+4.0
CNN,4/17 - 4/24, RV,43,57,+14.0
AP/NORC**,4/17 - 4/21,1260 A,39,59,+20.0
RMG Research*,4/16 - 4/24,3000 RV,49,48,+1.0
Economist/YouGov,4/19 - 4/22,1446 RV,44,53,+9.0
ABC/Wash Post/Ipsos,4/18 - 4/22,1992 RV,42,55,+13.0
FOX News,4/18 - 4/21,1104 RV,44,55,+11.0
Morning Consult,4/18 - 4/20,2207 RV,46,52,+6.0
Reuters/Ipsos,4/16 - 4/21,4306 A,42,53,+11.0
Rasmussen Reports,4/13 - 4/17,1500 LV,51,47,+4.0
Economist/YouGov,4/13 - 4/15,1329 RV,45,53,+8.0
Daily Kos/Civiqs,4/12 - 4/15,1124 RV,46,53,+7.0
Daily Mail,4/10 - 4/14,1002 RV,54,46,+8.0
Atlas Intel,4/10 - 4/14,2347 A,46,52,+6.0
Morning Consult,4/11 - 4/13,2203 RV,45,52,+7.0
RMG Research*,4/9 - 4/16,3000 RV,48,51,+3.0
CNBC,4/9 - 4/13,1000 A,44,51,+7.0
Harvard-Harris,4/9 - 4/10,2286 RV,48,46,+2.0
CBS News,4/8 - 4/11,2410 A,47,53,+6.0
Pew Research,4/7 - 4/13,3589 A,40,59,+19.0
Quantus Insights,4/7 - 4/9,1000 RV,47,50,+3.0
Gallup,4/1 - 4/14,1006 A,44,53,+9.0
Rasmussen Reports,4/6 - 4/10,1500 LV,48,50,+2.0
Economist/YouGov,4/5 - 4/8,1563 RV,45,52,+7.0
HarrisX,4/4 - 4/7,1883 RV,47,49,+2.0
Quinnipiac,4/3 - 4/7,1407 RV,41,53,+12.0
Morning Consult,4/4 - 4/6,2207 RV,46,52,+6.0
RMG Research*,4/2 - 4/10,3000 RV,49,48,+1.0
Cygnal,4/1 - 4/3,1500 LV,47,51,+4.0
Daily Mail,3/31 - 4/3,1000 RV,53,47,+6.0
Rasmussen Reports,3/30 - 4/3,1500 LV,49,50,+1.0
Reuters/Ipsos,3/31 - 4/2,1486 A,43,53,+10.0
Economist/YouGov,3/30 - 4/1,1465 RV,46,51,+5.0
RMG Research*,3/26 - 4/3,3000 RV,51,47,+4.0
Wall Street Journal,3/27 - 4/1,1500 RV,46,51,+5.0
Harvard-Harris,3/26 - 3/27,2746 RV,49,46,+3.0
CBS News,3/27 - 3/28,2609 A,50,50,
TIPP,3/26 - 3/28,1452 A,44,45,+1.0
Daily Mail,3/25 - 3/27,1001 RV,49,51,+2.0
Quantus Insights,3/25 - 3/27,1000 RV,49,46,+3.0
Rasmussen Reports,3/23 - 3/27,1500 LV,50,49,+1.0
Economist/YouGov,3/22 - 3/25,1440 RV,48,50,+2.0
RMG Research*,3/18 - 3/27,3000 RV,52,45,+7.0
Marquette,3/17 - 3/27,1021 A,46,54,+8.0
Reuters/Ipsos,3/21 - 3/23,1030 A,45,51,+6.0
AP/NORC**,3/20 - 3/24,1229 A,42,56,+14.0
Rasmussen Reports,3/16 - 3/20,1500 LV,51,47,+4.0
Economist/YouGov,3/16 - 3/18,1458 RV,47,50,+3.0
FOX News,3/14 - 3/17,994 RV,49,51,+2.0
RMG Research*,3/12 - 3/19,3000 RV,53,45,+8.0
Reuters/Ipsos,3/11 - 3/12,1422 A,44,52,+8.0
Rasmussen Reports,3/9 - 3/13,1500 LV,52,47,+5.0
Quantus Insights,3/10 - 3/12,1000 RV,50,47,+3.0
Economist/YouGov,3/9 - 3/11,1532 RV,48,49,+1.0
Atlas Intel,3/7 - 3/12,2550 A,47,52,+5.0
NBC News,3/7 - 3/11,1000 RV,47,51,+4.0
Emerson,3/8 - 3/10,1000 RV,47,45,+2.0
Gallup,3/3 - 3/16,1002 A,43,53,+10.0
RMG Research*,3/6 - 3/13,3000 RV,54,44,+10.0
Quinnipiac,3/6 - 3/10,1198 RV,42,53,+11.0
CNN,3/6 - 3/9, RV,46,53,+7.0
Daily Mail,3/5 - 3/7,1019 RV,49,51,+2.0
Trafalgar/InsiderAdvantage,3/5 - 3/5,800 RV,50,45,+5.0
Rasmussen Reports,3/2 - 3/6,1500 LV,50,48,+2.0
Reuters/Ipsos,3/3 - 3/4,1174 A,44,51,+7.0
Economist/YouGov,3/1 - 3/4,1491 RV,49,49,
Emerson,3/2 - 3/3,1000 RV,48,43,+5.0
Daily Kos/Civiqs,2/28 - 3/3,1031 RV,48,52,+4.0
CBS News,2/26 - 2/28,2311 A,51,49,+2.0
I&amp;I/TIPP,2/26 - 2/28,1434 A,46,43,+3.0
RMG Research*,2/24 - 2/28,3000 RV,53,45,+8.0
CNN,2/24 - 2/28, RV,48,52,+4.0
Atlas Intel,2/24 - 2/27,2849 A,50,50,
Rasmussen Reports,2/23 - 2/27,1500 LV,50,48,+2.0
Quantus Insights,2/24 - 2/26,1000 RV,51,45,+6.0
NPR/PBS/Marist,2/24 - 2/26,1533 RV,45,51,+6.0
Daily Mail,2/24 - 2/25,1001 RV,54,46,+8.0
Economist/YouGov,2/23 - 2/25,1444 RV,48,47,+1.0
Morning Consult,2/21 - 2/24,2225 RV,50,47,+3.0
Reuters/Ipsos,2/21 - 2/23,1029 A,44,50,+6.0
RMG Research*,2/18 - 2/21,3000 RV,53,44,+9.0
