pollster,date,sample,approve,disapprove,spread
Harvard-Harris,2/19 - 2/20,2443 RV,52,43,+9.0
Rasmussen Reports,2/16 - 2/20,1500 LV,51,47,+4.0
Economist/YouGov,2/16 - 2/18,1451 RV,50,47,+3.0
Emerson,2/15 - 2/17,1000 RV,48,42,+6.0
Wash Post/Ipsos,2/13 - 2/18,2177 RV,48,51,+3.0
Reuters/Ipsos,2/13 - 2/18,4145 A,44,51,+7.0
Quinnipiac,2/13 - 2/17,1039 RV,45,49,+4.0
CNN,2/13 - 2/17, RV,46,54,+8.0
SurveyUSA,2/13 - 2/16,2000 A,51,45,+6.0
RMG Research*,2/10 - 2/14,3000 RV,55,43,+12.0
Quantus Insights,2/10 - 2/12,1000 RV,53,44,+9.0
Economist/YouGov,2/9 - 2/11,1430 RV,47,49,+2.0
Rasmussen Reports,2/9 - 2/13,1500 LV,54,44,+10.0
Gallup,2/3 - 2/16,1004 A,45,51,+6.0
Trafalgar/InsiderAdvantage,2/7 - 2/9,1321 RV,54,45,+9.0
CBS News,2/5 - 2/7,2175 A,53,47,+6.0
RMG Research*,2/3 - 2/6,3000 RV,51,45,+6.0
Cygnal,2/4 - 2/5,1500 LV,50,48,+2.0
Economist/YouGov,2/2 - 2/4,1423 RV,48,47,+1.0
Quantus Insights,2/1 - 2/3,1000 RV,52,45,+7.0
Morning Consult,1/31 - 2/3,2303 RV,49,47,+2.0
Rasmussen Reports,2/2 - 2/6,1500 LV,51,45,+6.0
Marquette,1/27 - 2/5,1063 A,48,52,+4.0
Pew Research,1/27 - 2/5,5086 A,47,51,+4.0
TIPP,1/29 - 1/31,1478 A,46,41,+5.0
Fabrizio/Anzalone,1/27 - 2/1,3000 RV,48,47,+1.0
RMG Research*,1/27 - 1/31,4000 RV,53,43,+10.0
Rasmussen Reports,1/26 - 1/30,1500 LV,52,45,+7.0
Emerson,1/27 - 1/28,1000 RV,49,41,+8.0
Economist/YouGov,1/26 - 1/28,1376 RV,50,46,+4.0
Quinnipiac,1/23 - 1/27,1019 RV,46,43,+3.0
Morning Consult,1/24 - 1/26,2302 RV,52,44,+8.0
Reuters/Ipsos,1/24 - 1/26,1034 A,45,46,+1.0
Gallup,1/21 - 1/27,1001 A,47,48,+1.0
Quantus Insights,1/22 - 1/23,1000 RV,54,40,+14.0
RMG Research*,1/22 - 1/23,3000 RV,57,39,+18.0
Atlas Intel,1/21 - 1/23,1882 A,50,50,
Rasmussen Reports,1/20 - 1/23,1667 LV,53,42,+11.0
Reuters/Ipsos,1/20 - 1/21,1077 A,47,41,+6.0
Big Data Poll,1/19 - 1/22,2979 RV,56,37,+19.0
InsiderAdvantage,1/20 - 1/20,800 RV,56,39,+17.0
rcp_average,1/9 - 1/19,,41.1,56.1,+15.0
Economist/YouGov,1/16 - 1/19,1291 RV,44,55,+11.0
Rasmussen Reports,1/14 - 1/18,1500 LV,51,48,+3.0
Politico/Morning Consult,1/15 - 1/17,1993 RV,39,58,+19.0
Quinnipiac,1/15 - 1/17,1131 RV,34,61,+27.0
USA Today/Suffolk,1/12 - 1/15,1000 RV,41,54,+13.0
Harvard-Harris,1/12 - 1/14,2006 RV,47,53,+6.0
NPR/PBS/Marist,1/11 - 1/13,1012 RV,40,55,+15.0
NBC News/Wall St. Jrnl,1/10 - 1/13,1000 RV,43,55,+12.0
ABC News/Wash Post,1/10 - 1/13,1002 A,38,60,+22.0
CNN,1/9 - 1/14,1003 A,34,62,+28.0
Economist/YouGov,1/10 - 1/12,1293 RV,41,55,+14.0
Reuters/Ipsos,1/8 - 1/12,1163 RV,35,63,+28.0
The Hill/HarrisX,1/8 - 1/11,2854 RV,44,56,+12.0
Politico/Morning Consult,1/8 - 1/11,1996 RV,34,63,+29.0
Gallup,1/4 - 1/15,1023 A,34,62,+28.0
Quinnipiac,1/7 - 1/10,1239 RV,33,60,+27.0
IBD/TIPP,1/6 - 1/8,1163 RV,42,52,+10.0
NPR/PBS/Marist,1/7 - 1/7,831 RV,39,58,+19.0
Politico/Morning Consult,1/6 - 1/7,1986 RV,38,60,+22.0
Reuters/Ipsos,1/4 - 1/5,1133 RV,40,58,+18.0
Economist/YouGov,1/3 - 1/5,1278 RV,43,55,+12.0
The Hill/HarrisX,12/30 - 1/3,3787 RV,50,50,
Economist/YouGov,12/19 - 12/22,1157 RV,43,52,+9.0
Reuters/Ipsos,12/18 - 12/22,1126 RV,40,57,+17.0
Politico/Morning Consult,12/18 - 12/20,1995 RV,41,57,+16.0
USA Today/Suffolk,12/16 - 12/20,1000 RV,45,52,+7.0
Economist/YouGov,12/13 - 12/15,1090 RV,44,53,+9.0
Reuters/Ipsos,12/11 - 12/14,1113 RV,42,56,+14.0
Politico/Morning Consult,12/11 - 12/14,1990 RV,41,57,+16.0
Gallup,12/1 - 12/17,1018 A,39,57,+18.0
FOX News,12/6 - 12/9,1007 RV,47,52,+5.0
Economist/YouGov,12/6 - 12/8,912 RV,45,52,+7.0
Emerson,12/6 - 12/7,1277 RV,46,48,+2.0
The Hill/HarrisX,12/3 - 12/7,3785 RV,49,51,+2.0
Reuters/Ipsos,12/2 - 12/8,3812 RV,42,56,+14.0
Politico/Morning Consult,12/4 - 12/6,1990 RV,40,58,+18.0
Quinnipiac,12/1 - 12/7,978 RV,44,51,+7.0
NPR/PBS/Marist,12/1 - 12/6,916 RV,42,54,+12.0
Reuters/Ipsos,11/30 - 12/1,958 RV,37,62,+25.0
The Hill/HarrisX,11/27 - 11/30,2825 RV,50,50,
Economist/YouGov,11/21 - 11/24,1500 RV,43,55,+12.0
Politico/Morning Consult,11/21 - 11/23,1990 RV,43,55,+12.0
Harvard-Harris,11/17 - 11/19,2205 RV,51,49,+2.0
Economist/YouGov,11/15 - 11/17,1500 RV,43,51,+8.0
Reuters/Ipsos,11/13 - 11/17,1121 RV,38,59,+21.0
Politico/Morning Consult,11/13 - 11/16,1994 RV,42,56,+14.0
Monmouth,11/12 - 11/16,749 RV,46,51,+5.0
Economist/YouGov,11/8 - 11/10,1500 RV,46,51,+5.0
Reuters/Ipsos,11/6 - 11/10,1169 RV,40,57,+17.0
The Hill/HarrisX,11/2 - 11/4,2987 RV,48,52,+4.0
Economist/YouGov,10/31 - 11/2,1363 LV,45,54,+9.0
Reuters/Ipsos,10/29 - 11/2,1146 RV,42,54,+12.0
NBC News/Wall St. Jrnl,10/29 - 10/31,1000 RV,45,52,+7.0
FOX News,10/27 - 10/29,1246 LV,46,54,+8.0
Harvard-Harris,10/27 - 10/28,2093 RV,46,54,+8.0
The Hill/HarrisX,10/25 - 10/28,2359 LV,49,51,+2.0
Economist/YouGov,10/25 - 10/27,1365 LV,42,56,+14.0
Emerson,10/25 - 10/26,1121 LV,45,51,+6.0
Reuters/Ipsos,10/23 - 10/27,1110 RV,42,57,+15.0
USA Today/Suffolk,10/23 - 10/27,1000 LV,44,53,+9.0
Gallup,10/16 - 10/27,833 LV,44,55,+11.0
CNN,10/23 - 10/26,886 LV,42,56,+14.0
CNBC,10/21 - 10/24,800 RV,42,53,+11.0
Politico/Morning Consult,10/19 - 10/22,1994 RV,45,53,+8.0
Economist/YouGov,10/18 - 10/20,1344 LV,45,54,+9.0
CNBC/Change Research (D),10/17 - 10/18,2711 LV,44,56,+12.0
Reuters/Ipsos,10/16 - 10/20,1158 RV,42,58,+16.0
Quinnipiac,10/16 - 10/19,1426 LV,41,55,+14.0
Politico/Morning Consult,10/16 - 10/18,1994 RV,43,55,+12.0
NY Times/Siena,10/15 - 10/18,987 LV,43,51,+8.0
Economist/YouGov,10/11 - 10/13,1333 LV,42,57,+15.0
The Hill/HarrisX,10/10 - 10/13,2855 RV,46,54,+8.0
Reuters/Ipsos,10/9 - 10/13,1120 RV,43,53,+10.0
NBC News/Wall St. Jrnl,10/9 - 10/12,1000 RV,44,54,+10.0
NPR/PBS/Marist,10/8 - 10/13,819 LV,43,54,+11.0
Politico/Morning Consult,10/9 - 10/11,1986 RV,45,54,+9.0
Gallup,9/30 - 10/15,1035 A,43,55,+12.0
ABC News/Wash Post,10/6 - 10/9,725 LV,45,55,+10.0
Economist/YouGov,10/4 - 10/6,1364 LV,43,55,+12.0
FOX News,10/3 - 10/6,1012 LV,47,52,+5.0
The Hill/HarrisX,10/3 - 10/6,2841 RV,46,54,+8.0
Reuters/Ipsos,10/2 - 10/6,1123 RV,42,55,+13.0
CNBC/Change Research (D),10/2 - 10/4,2167 LV,45,55,+10.0
Politico/Morning Consult,10/2 - 10/4,1990 RV,45,54,+9.0
CNN,10/1 - 10/4,1001 RV,40,57,+17.0
IBD/TIPP,9/30 - 10/1,1221 RV,46,49,+3.0
NBC News/Wall St. Jrnl,9/30 - 10/1,800 RV,43,55,+12.0
Economist/YouGov,9/27 - 9/30,1350 LV,45,55,+10.0
Reuters/Ipsos,9/25 - 9/29,864 LV,44,55,+11.0
NY Times/Siena,9/22 - 9/24,950 LV,46,50,+4.0
Harvard-Harris,9/22 - 9/24,1314 RV,47,53,+6.0
Emerson,9/22 - 9/23,1000 LV,46,50,+4.0
ABC News/Wash Post,9/21 - 9/24,889 RV,44,55,+11.0
Gallup,9/14 - 9/28,1023 A,46,52,+6.0
Economist/YouGov,9/20 - 9/22,1124 LV,45,53,+8.0
Reuters/Ipsos,9/18 - 9/22,1160 RV,43,54,+11.0
The Hill/HarrisX,9/18 - 9/21,2804 RV,48,52,+4.0
Quinnipiac,9/17 - 9/21,1302 LV,43,53,+10.0
CNBC/Change Research (D),9/18 - 9/20,1430 LV,43,57,+14.0
Politico/Morning Consult,9/18 - 9/20,1989 RV,43,56,+13.0
NBC News/Wall St. Jrnl,9/13 - 9/16,1000 RV,45,53,+8.0
Economist/YouGov,9/13 - 9/15,1062 LV,45,54,+9.0
NPR/PBS/Marist,9/11 - 9/16,723 LV,43,53,+10.0
Reuters/Ipsos,9/11 - 9/15,1133 RV,42,56,+14.0
Politico/Morning Consult,9/11 - 9/14,1991 RV,38,60,+22.0
FOX News,9/7 - 9/10,1191 LV,48,51,+3.0
Economist/YouGov,9/6 - 9/8,1057 LV,43,57,+14.0
The Hill/HarrisX,9/5 - 9/8,2832 RV,47,53,+6.0
Gallup,8/31 - 9/13,1019 A,42,56,+14.0
CNBC/Change Research (D),9/4 - 9/6,1902 LV,45,55,+10.0
Reuters/Ipsos,9/3 - 9/8,1107 RV,40,57,+17.0
Monmouth,9/3 - 9/8,758 RV,42,55,+13.0
Harvard-Harris,8/31 - 9/2,1604 RV,46,54,+8.0
Economist/YouGov,8/30 - 9/1,1207 RV,43,55,+12.0
Emerson,8/30 - 8/31,1567 LV,49,47,+2.0
IBD/TIPP,8/29 - 9/1,1033 RV,39,55,+16.0
Reuters/Ipsos,8/28 - 9/1,1089 RV,44,54,+10.0
CNN,8/28 - 9/1,997 RV,41,54,+13.0
USA Today/Suffolk,8/28 - 8/31,1000 RV,45,52,+7.0
Quinnipiac,8/28 - 8/31,1081 LV,43,54,+11.0
Politico/Morning Consult,8/28 - 8/30,1988 RV,42,57,+15.0
Grinnell/Selzer,8/26 - 8/30,827 LV,43,51,+8.0
Economist/YouGov,8/23 - 8/25,1256 RV,45,54,+9.0
The Hill/HarrisX,8/22 - 8/25,2861 RV,44,56,+12.0
Reuters/Ipsos,8/19 - 8/25,3829 RV,43,55,+12.0
CNBC/Change Research (D),8/21 - 8/23,2362 LV,45,55,+10.0
Politico/Morning Consult,8/21 - 8/23,1992 RV,42,56,+14.0
Economist/YouGov,8/16 - 8/18,1246 RV,43,54,+11.0
Reuters/Ipsos,8/14 - 8/18,1179 RV,42,56,+14.0
Politico/Morning Consult,8/14 - 8/16,1994 RV,39,59,+20.0
CNN,8/12 - 8/15,987 RV,43,54,+11.0
ABC News/Wash Post,8/12 - 8/15,868 RV,42,57,+15.0
NBC News/Wall St. Jrnl,8/9 - 8/12,900 RV,44,53,+9.0
FOX News,8/9 - 8/12,1000 RV,44,54,+10.0
Reuters/Ipsos,8/10 - 8/11,1034 RV,41,57,+16.0
Economist/YouGov,8/9 - 8/11,1208 RV,44,54,+10.0
The Hill/HarrisX,8/8 - 8/11,2828 RV,45,55,+10.0
Politico/Morning Consult,8/9 - 8/10,1983 RV,41,58,+17.0
CNBC/Change Research (D)*,8/7 - 8/9,2143 LV,46,54,+8.0
Monmouth,8/6 - 8/10,785 RV,42,53,+11.0
Gallup,7/30 - 8/12,1031 A,42,55,+13.0
NPR/PBS/Marist,8/3 - 8/11,1108 RV,39,54,+15.0
Reuters/Ipsos,8/3 - 8/4,964 RV,40,59,+19.0
GU Politics/Battleground,8/1 - 8/6,1000 LV,42,55,+13.0
Economist/YouGov,8/2 - 8/4,1229 RV,42,56,+14.0
Politico/Morning Consult,7/31 - 8/2,1991 RV,40,58,+18.0
Emerson,7/29 - 7/30,964 LV,45,51,+6.0
Reuters/Ipsos,7/27 - 7/28,947 RV,40,58,+18.0
Economist/YouGov,7/26 - 7/28,1260 RV,44,53,+9.0
IBD/TIPP,7/25 - 7/28,1160 RV,41,52,+11.0
The Hill/HarrisX,7/24 - 7/26,2842 RV,44,56,+12.0
CNBC/Change Research (D),7/24 - 7/26,1039 LV,44,56,+12.0
Politico/Morning Consult,7/24 - 7/26,1997 RV,40,57,+17.0
Harvard-Harris,7/21 - 7/23,1932 RV,44,56,+12.0
Economist/YouGov,7/19 - 7/21,1222 RV,42,56,+14.0
Reuters/Ipsos,7/15 - 7/21,3744 RV,40,58,+18.0
Politico/Morning Consult,7/17 - 7/19,1991 RV,40,57,+17.0
FOX News,7/12 - 7/15,1104 RV,45,54,+9.0
ABC News/Wash Post,7/12 - 7/15,845 RV,40,58,+18.0
Reuters/Ipsos,7/13 - 7/14,961 RV,40,56,+16.0
Rasmussen Reports,7/12 - 7/14,1500 LV,48,50,+2.0
Economist/YouGov,7/12 - 7/14,1252 RV,41,56,+15.0
Gallup,7/1 - 7/23,1007 A,41,56,+15.0
CNBC/Change Research (D),7/10 - 7/12,1258 LV,43,57,+14.0
Politico/Morning Consult,7/10 - 7/12,1992 RV,41,56,+15.0
Quinnipiac,7/9 - 7/13,1273 RV,36,60,+24.0
NBC News/Wall St. Jrnl,7/9 - 7/12,900 RV,42,56,+14.0
The Hill/HarrisX,7/7 - 7/10,2841 RV,45,55,+10.0
Reuters/Ipsos,7/6 - 7/7,952 RV,40,57,+17.0
Rasmussen Reports,7/5 - 7/7,1500 LV,44,54,+10.0
Economist/YouGov,7/5 - 7/7,1165 RV,42,57,+15.0
Reuters/Ipsos,6/29 - 6/30,943 RV,41,57,+16.0
Economist/YouGov,6/28 - 6/30,1198 RV,42,57,+15.0
IBD/TIPP,6/27 - 6/30,1005 RV,39,56,+17.0
Monmouth,6/26 - 6/30,733 RV,41,54,+13.0
CNBC/Change Research (D),6/26 - 6/28,1663 LV,43,57,+14.0
Politico/Morning Consult,6/26 - 6/29,1984 RV,39,59,+20.0
Rasmussen Reports,6/28 - 6/30,1500 LV,44,54,+10.0
USA Today/Suffolk,6/25 - 6/29,1000 RV,40,58,+18.0
NPR/PBS/Marist,6/22 - 6/24,1515 RV,41,57,+16.0
The Hill/HarrisX,6/22 - 6/23,951 RV,46,54,+8.0
Reuters/Ipsos,6/22 - 6/23,934 RV,39,59,+20.0
Economist/YouGov,6/21 - 6/23,1230 RV,43,55,+12.0
CNBC,6/19 - 6/22,800 RV,39,52,+13.0
Politico/Morning Consult,6/19 - 6/21,1988 RV,39,58,+19.0
Rasmussen Reports,6/21 - 6/23,1500 LV,47,52,+5.0
NY Times/Siena,6/17 - 6/22,1337 RV,41,56,+15.0
Gallup,6/8 - 6/30,1016 A,38,57,+19.0
Harvard-Harris,6/17 - 6/18,1886 RV,43,57,+14.0
Economist/YouGov,6/14 - 6/16,1160 RV,42,55,+13.0
FOX News,6/13 - 6/16,1343 RV,44,55,+11.0
Quinnipiac,6/11 - 6/15,1332 RV,42,55,+13.0
Rasmussen Reports,6/14 - 6/16,1500 LV,46,53,+7.0
CNBC/Change Research (D),6/12 - 6/14,1250 LV,43,57,+14.0
Politico/Morning Consult,6/12 - 6/14,1987 RV,40,57,+17.0
Reuters/Ipsos,6/10 - 6/16,3768 RV,39,58,+19.0
The Hill/HarrisX,6/8 - 6/10,1912 RV,47,53,+6.0
Rasmussen Reports,6/8 - 6/10,1500 LV,43,56,+13.0
Reuters/Ipsos,6/8 - 6/9,931 RV,42,57,+15.0
Economist/YouGov,6/7 - 6/9,1241 RV,43,56,+13.0
Politico/Morning Consult,6/6 - 6/7,1992 RV,39,58,+19.0
CNN,6/2 - 6/5,1125 RV,40,57,+17.0
Emerson,6/2 - 6/3,1431 RV,43,50,+7.0
The Hill/HarrisX,6/1 - 6/4,2827 RV,44,56,+12.0
NPR/PBS/Marist,6/2 - 6/3,958 RV,42,55,+13.0
IBD/TIPP,5/31 - 6/3,964 RV,42,52,+10.0
Gallup,5/28 - 6/4,1034 A,39,57,+18.0
Rasmussen Reports,6/1 - 6/3,1500 LV,46,52,+6.0
Reuters/Ipsos,6/1 - 6/2,964 RV,40,57,+17.0
Economist/YouGov,5/31 - 6/2,1244 RV,43,55,+12.0
CBS News,5/29 - 6/2,1309 A,40,54,+14.0
NBC News/Wall St. Jrnl,5/28 - 6/2,1000 RV,45,53,+8.0
Politico/Morning Consult,5/29 - 6/1,1981 RV,41,55,+14.0
CNBC,5/29 - 5/31,1457 LV,44,56,+12.0
Monmouth,5/28 - 6/1,742 RV,43,54,+11.0
ABC News/Wash Post,5/25 - 5/28,835 RV,45,53,+8.0
Rasmussen Reports,5/25 - 5/27,1500 LV,45,54,+9.0
Economist/YouGov,5/23 - 5/26,1157 RV,45,53,+8.0
Politico/Morning Consult,5/22 - 5/26,1986 RV,40,57,+17.0
Reuters/Ipsos,5/20 - 5/27,3732 RV,43,55,+12.0
FOX News,5/17 - 5/20,1207 RV,44,54,+10.0
Reuters/Ipsos,5/18 - 5/19,957 RV,42,55,+13.0
Economist/YouGov,5/17 - 5/19,1235 RV,46,52,+6.0
Rasmussen Reports,5/18 - 5/20,1500 LV,45,54,+9.0
Politico/Morning Consult,5/15 - 5/18,1994 RV,41,55,+14.0
CNBC,5/15 - 5/17,1424 LV,46,54,+8.0
Quinnipiac,5/14 - 5/18,1323 RV,42,53,+11.0
Harvard-Harris,5/13 - 5/14,1854 RV,47,53,+6.0
The Hill/HarrisX,5/13 - 5/14,950 RV,50,50,
Reuters/Ipsos,5/11 - 5/12,973 RV,41,57,+16.0
Rasmussen Reports,5/11 - 5/13,1500 LV,48,51,+3.0
Economist/YouGov,5/10 - 5/12,1175 RV,47,51,+4.0
CNN,5/7 - 5/10,1001 RV,46,51,+5.0
Politico/Morning Consult,5/8 - 5/10,1994 RV,42,52,+10.0
Gallup,5/1 - 5/13,1028 A,49,48,+1.0
The Hill/HarrisX,5/6 - 5/6,957 RV,51,49,+2.0
Reuters/Ipsos,5/4 - 5/5,1015 RV,45,53,+8.0
Economist/YouGov,5/3 - 5/5,1209 RV,46,51,+5.0
Rasmussen Reports,5/4 - 5/6,1500 LV,49,48,+1.0
Politico/Morning Consult,5/2 - 5/3,1987 RV,42,52,+10.0
CNBC,5/1 - 5/3,1489 LV,46,54,+8.0
Monmouth,4/30 - 5/4,739 RV,44,51,+7.0
Reuters/Ipsos,4/27 - 4/29,1876 RV,43,54,+11.0
IBD/TIPP,4/26 - 4/29,1225 A,44,44,
Emerson,4/26 - 4/28,1200 RV,41,50,+9.0
Rasmussen Reports,4/27 - 4/29,1500 LV,46,52,+6.0
Economist/YouGov,4/26 - 4/28,1222 RV,44,53,+9.0
Politico/Morning Consult,4/24 - 4/26,1991 RV,44,52,+8.0
Gallup,4/14 - 4/28,1500 A,49,47,+2.0
USA Today/Suffolk,4/21 - 4/25,1000 RV,43,53,+10.0
Rasmussen Reports,4/20 - 4/22,1500 LV,44,55,+11.0
Economist/YouGov,4/19 - 4/21,1144 RV,46,51,+5.0
The Hill/HarrisX,4/19 - 4/20,958 RV,50,50,
Politico/Morning Consult,4/18 - 4/19,1991 RV,44,51,+7.0
Reuters/Ipsos,4/15 - 4/21,3806 RV,43,54,+11.0
Harvard-Harris,4/14 - 4/16,2394 RV,49,51,+2.0
NBC News/Wall St. Jrnl,4/13 - 4/15,900 RV,46,51,+5.0
Reuters/Ipsos,4/13 - 4/14,937 RV,46,51,+5.0
Economist/YouGov,4/12 - 4/14,1166 RV,45,53,+8.0
Rasmussen Reports,4/13 - 4/15,1500 LV,46,53,+7.0
The Hill/HarrisX,4/10 - 4/13,2854 RV,48,52,+4.0
Politico/Morning Consult,4/10 - 4/12,1990 RV,45,52,+7.0
Gallup,4/1 - 4/14,1017 A,43,54,+11.0
Reuters/Ipsos,4/6 - 4/7,959 RV,42,55,+13.0
Economist/YouGov,4/5 - 4/7,1147 RV,45,53,+8.0
Rasmussen Reports,4/6 - 4/8,1500 LV,46,52,+6.0
FOX News,4/4 - 4/7,1107 RV,49,49,
Monmouth,4/3 - 4/7,743 RV,46,49,+3.0
CNBC,4/3 - 4/6,804 A,46,43,+3.0
CNN,4/3 - 4/6,875 RV,44,53,+9.0
Quinnipiac,4/2 - 4/6,2077 RV,45,51,+6.0
Politico/Morning Consult,4/3 - 4/5,1990 RV,44,54,+10.0
IBD/TIPP,3/29 - 4/1,1226 A,45,45,
Reuters/Ipsos,3/30 - 3/31,930 RV,46,52,+6.0
Rasmussen Reports,3/30 - 4/1,1500 LV,48,50,+2.0
Economist/YouGov,3/29 - 3/31,1194 RV,47,50,+3.0
Grinnell/Selzer,3/27 - 3/30,777 LV,48,48,
Politico/Morning Consult,3/27 - 3/29,1997 RV,45,52,+7.0
Harvard-Harris,3/24 - 3/26,2410 RV,48,52,+4.0
ABC News/Wash Post,3/22 - 3/25,845 RV,49,47,+2.0
FOX News,3/21 - 3/24,1011 RV,48,51,+3.0
Economist/YouGov,3/22 - 3/24,1170 RV,47,51,+4.0
Rasmussen Reports,3/23 - 3/25,1500 LV,46,52,+6.0
The Hill/HarrisX,3/22 - 3/23,1002 RV,50,50,
Reuters/Ipsos,3/18 - 3/24,3763 RV,45,52,+7.0
Politico/Morning Consult,3/20 - 3/22,1996 RV,45,52,+7.0
Monmouth,3/18 - 3/22,754 RV,48,48,
Emerson,3/18 - 3/19,1100 RV,46,45,+1.0
Gallup,3/13 - 3/22,1020 A,49,45,+4.0
Reuters/Ipsos,3/16 - 3/17,978 RV,43,54,+11.0
Rasmussen Reports,3/16 - 3/18,1500 LV,47,52,+5.0
Economist/YouGov,3/15 - 3/17,1129 RV,44,54,+10.0
Politico/Morning Consult,3/13 - 3/16,1986 RV,43,54,+11.0
NPR/PBS/Marist,3/13 - 3/14,784 RV,43,50,+7.0
NBC News/Wall St. Jrnl,3/11 - 3/13,900 RV,46,51,+5.0
Reuters/Ipsos,3/9 - 3/10,961 RV,42,54,+12.0
Economist/YouGov,3/8 - 3/10,1191 RV,45,52,+7.0
