pollster,date,sample,approve,disapprove,spread
IBD/TIPP,3/28 - 4/6,907 A,41,52,+11.0
The Hill/HarrisX,4/1 - 4/2,1000 RV,46,54,+8.0
Economist/YouGov,3/31 - 4/2,1227 RV,43,54,+11.0
Rasmussen Reports,3/31 - 4/2,1500 LV,50,48,+2.0
Politico/Morning Consult,3/29 - 4/1,1945 RV,42,53,+11.0
Reuters/Ipsos,3/26 - 4/1,3962 A,42,53,+11.0
PPP (D),3/27 - 3/28,846 RV,42,52,+10.0
NPR/PBS/Marist,3/25 - 3/27,834 RV,44,50,+6.0
NBC News/Wall St. Jrnl,3/23 - 3/27,1000 A,43,53,+10.0
Harvard-Harris,3/25 - 3/26,1437 RV,45,55,+10.0
Politico/Morning Consult,3/25 - 3/26,1978 RV,42,55,+13.0
Economist/YouGov,3/24 - 3/26,1249 RV,46,51,+5.0
Reuters/Ipsos,3/20 - 3/26,4603 A,42,52,+10.0
Rasmussen Reports,3/24 - 3/26,1500 LV,49,50,+1.0
Quinnipiac,3/21 - 3/25,1358 RV,39,55,+16.0
Pew Research,3/20 - 3/25, RV,41,55,+14.0
CNBC,3/18 - 3/21,800 A,40,49,+9.0
FOX News,3/17 - 3/20,1002 RV,46,51,+5.0
The Hill/HarrisX,3/18 - 3/19,1003 RV,45,55,+10.0
Economist/YouGov,3/17 - 3/19,1287 RV,42,56,+14.0
Emerson,3/17 - 3/18,1153 RV,43,50,+7.0
Reuters/Ipsos,3/13 - 3/19,2222 A,39,55,+16.0
Politico/Morning Consult,3/15 - 3/17,1991 RV,41,54,+13.0
CNN,3/14 - 3/17,914 RV,43,51,+8.0
USA Today/Suffolk,3/13 - 3/17,1000 RV,48,49,+1.0
Rasmussen Reports,3/13 - 3/17,1500 LV,47,51,+4.0
Economist/YouGov,3/10 - 3/12,1279 RV,45,53,+8.0
Reuters/Ipsos,3/6 - 3/12,2207 A,41,54,+13.0
Politico/Morning Consult,3/8 - 3/10,1994 RV,41,54,+13.0
Gallup,3/1 - 3/10,1032 A,39,57,+18.0
The Hill/HarrisX,3/5 - 3/6,1001 RV,45,55,+10.0
Economist/YouGov,3/3 - 3/5,1304 RV,45,53,+8.0
Rasmussen Reports,3/5 - 3/7,1500 LV,50,49,+1.0
Monmouth,3/1 - 3/4,746 RV,44,52,+8.0
Quinnipiac,3/1 - 3/4,1120 RV,38,55,+17.0
Politico/Morning Consult,3/1 - 3/3,1993 RV,41,54,+13.0
Reuters/Ipsos,2/27 - 3/5,3269 A,39,56,+17.0
NBC News/Wall St. Jrnl,2/24 - 2/27,900 A,46,52,+6.0
Economist/YouGov,2/24 - 2/26,1328 RV,43,53,+10.0
IBD/TIPP,2/21 - 3/2,907 A,41,53,+12.0
Reuters/Ipsos,2/20 - 2/26,3514 A,41,55,+14.0
Politico/Morning Consult,2/22 - 2/24,1994 RV,42,54,+12.0
Rasmussen Reports,2/24 - 2/26,1500 LV,49,49,
Harvard-Harris,2/19 - 2/20,1792 RV,45,55,+10.0
Gallup,2/12 - 2/28,1932 A,43,54,+11.0
Economist/YouGov,2/17 - 2/19,1318 RV,45,52,+7.0
The Hill/HarrisX,2/17 - 2/18,1001 RV,45,55,+10.0
Politico/Morning Consult,2/15 - 2/19,1914 RV,42,53,+11.0
Rasmussen Reports,2/17 - 2/19,1500 LV,49,51,+2.0
Reuters/Ipsos,2/13 - 2/19,3322 A,41,55,+14.0
Emerson,2/14 - 2/16,1000 RV,43,51,+8.0
FOX News,2/10 - 2/12,1004 RV,46,52,+6.0
Economist/YouGov,2/10 - 2/12,1283 RV,41,57,+16.0
Rasmussen Reports,2/10 - 2/12,1500 LV,50,49,+1.0
Reuters/Ipsos,2/6 - 2/12,2240 A,39,57,+18.0
Politico/Morning Consult,2/7 - 2/10,1991 RV,45,51,+6.0
The Hill/HarrisX,2/7 - 2/8,1002 RV,47,53,+6.0
Gallup,2/1 - 2/10,1016 A,44,52,+8.0
Economist/YouGov,2/2 - 2/5,1294 RV,42,54,+12.0
Rasmussen Reports,2/3 - 2/5,1500 LV,48,51,+3.0
Reuters/Ipsos,1/30 - 2/5,2470 A,38,57,+19.0
Politico/Morning Consult,2/1 - 2/2,1993 RV,41,56,+15.0
CNN,1/30 - 2/2, RV,42,54,+12.0
Economist/YouGov,1/27 - 1/29,1313 RV,43,54,+11.0
Rasmussen Reports,1/27 - 1/29,1500 LV,43,56,+13.0
Quinnipiac,1/25 - 1/28,1004 RV,38,57,+19.0
IBD/TIPP,1/24 - 2/1,905 A,39,57,+18.0
Monmouth,1/25 - 1/27,735 RV,43,53,+10.0
Reuters/Ipsos,1/23 - 1/29,2958 A,39,56,+17.0
Politico/Morning Consult,1/25 - 1/27,1997 RV,40,55,+15.0
Gallup,1/21 - 1/27,1500 A,37,59,+22.0
ABC News/Wash Post,1/21 - 1/24,893 RV,38,58,+20.0
NBC News/Wall St. Jrnl,1/20 - 1/23,900 A,43,54,+11.0
FOX News,1/20 - 1/22,1008 RV,43,54,+11.0
Economist/YouGov,1/20 - 1/22,1257 RV,42,55,+13.0
Emerson,1/20 - 1/21,942 RV,42,52,+10.0
The Hill/HarrisX,1/18 - 1/22,3001 RV,44,56,+12.0
PPP (D),1/19 - 1/21,760 RV,40,57,+17.0
Politico/Morning Consult,1/18 - 1/22,1996 RV,40,57,+17.0
Reuters/Ipsos,1/16 - 1/22,2274 A,40,55,+15.0
CBS News,1/18 - 1/21,1102 A,36,59,+23.0
Rasmussen Reports,1/17 - 1/21,1500 LV,44,56,+12.0
Harvard-Harris,1/15 - 1/16,1540 RV,45,55,+10.0
Economist/YouGov,1/12 - 1/15,1289 RV,45,52,+7.0
Reuters/Ipsos,1/9 - 1/15,3363 A,41,55,+14.0
NPR/PBS/Marist,1/10 - 1/13,873 RV,40,54,+14.0
Pew Research,1/9 - 1/14, RV,39,58,+19.0
Quinnipiac,1/9 - 1/13,1209 RV,41,55,+14.0
Rasmussen Reports,1/9 - 1/13,1500 LV,43,55,+12.0
CNN,1/10 - 1/11,848 A,37,57,+20.0
The Hill/HarrisX,1/8 - 1/11,3015 RV,44,56,+12.0
IBD/TIPP,1/1 - 1/12,903 A,42,54,+12.0
Gallup,1/2 - 1/10,1017 A,37,59,+22.0
Economist/YouGov,1/6 - 1/8,1299 RV,44,53,+9.0
Reuters/Ipsos,1/2 - 1/8,2201 A,40,55,+15.0
Economist/YouGov,12/30 - 1/1,1283 RV,45,53,+8.0
Reuters/Ipsos,12/26 - 1/1,2482 A,41,54,+13.0
Harvard-Harris,12/24 - 12/25,1473 RV,44,56,+12.0
Economist/YouGov,12/23 - 12/25,1298 RV,44,52,+8.0
Gallup,12/16 - 12/22,1500 A,40,55,+15.0
Economist/YouGov,12/16 - 12/18,1316 RV,43,54,+11.0
Reuters/Ipsos,12/12 - 12/18,2201 A,43,52,+9.0
USA Today/Suffolk,12/11 - 12/16,1000 RV,42,54,+12.0
Quinnipiac,12/12 - 12/17,1147 RV,39,52,+13.0
Rasmussen Reports,12/16 - 12/18,1500 LV,47,52,+5.0
Gallup,12/10 - 12/16,1500 A,38,57,+19.0
NBC News/Wall St. Jrnl,12/9 - 12/12,900 A,43,54,+11.0
FOX News,12/9 - 12/11,1006 RV,46,52,+6.0
Economist/YouGov,12/9 - 12/11,1303 RV,43,54,+11.0
Reuters/Ipsos,12/5 - 12/11,2257 A,43,52,+9.0
Emerson,12/6 - 12/9,800 RV,43,47,+4.0
CNN,12/6 - 12/9, RV,40,53,+13.0
Gallup,12/3 - 12/9,1500 A,40,56,+16.0
CNBC,12/3 - 12/6,802 A,41,47,+6.0
Economist/YouGov,12/2 - 12/4,1286 RV,46,52,+6.0
NPR/PBS/Marist,11/28 - 12/4,835 RV,43,49,+6.0
Reuters/Ipsos,11/28 - 12/4,2401 A,41,52,+11.0
Gallup,11/26 - 12/2,1500 A,40,56,+16.0
IBD/TIPP,11/26 - 12/2,823 A,39,55,+16.0
Economist/YouGov,11/25 - 11/27,1293 RV,45,53,+8.0
Harvard-Harris,11/25 - 11/26,1407 RV,46,54,+8.0
Grinnell/Selzer,11/24 - 11/27,828 LV,44,47,+3.0
Reuters/Ipsos,11/21 - 11/27,2289 A,44,51,+7.0
Gallup,11/19 - 11/25,1500 A,38,60,+22.0
Economist/YouGov,11/18 - 11/20,1328 RV,45,53,+8.0
Rasmussen Reports,11/18 - 11/20,1500 LV,51,48,+3.0
Reuters/Ipsos,11/14 - 11/20,2232 A,44,51,+7.0
Quinnipiac,11/14 - 11/19,1046 RV,41,54,+13.0
CBS News,11/15 - 11/18,1103 A,39,55,+16.0
Gallup,11/12 - 11/18,1500 A,43,53,+10.0
Economist/YouGov,11/11 - 11/13,1284 RV,45,54,+9.0
Rasmussen Reports,11/11 - 11/13,1500 LV,46,52,+6.0
Monmouth,11/9 - 11/12,716 RV,44,49,+5.0
Reuters/Ipsos,11/7 - 11/13,2149 A,43,53,+10.0
Gallup,11/5 - 11/11,1500 A,38,56,+18.0
Economist/YouGov,11/4 - 11/6,1290 RV,45,52,+7.0
CNN,11/1 - 11/3,1151 LV,41,57,+16.0
Rasmussen Reports,11/4 - 11/6,1500 LV,48,50,+2.0
NBC News/Wall St. Jrnl,11/1 - 11/3,774 LV,46,52,+6.0
Gallup,10/29 - 11/4,1500 A,40,54,+14.0
ABC News/Wash Post,10/29 - 11/1,1041 RV,44,52,+8.0
Economist/YouGov,10/28 - 10/30,1296 RV,44,52,+8.0
NPR/PBS/Marist,10/28 - 10/29,509 LV,41,53,+12.0
IBD/TIPP,10/25 - 11/3,900 A,40,53,+13.0
Harvard-Harris,10/26 - 10/28,1835 RV,44,56,+12.0
Reuters/Ipsos,10/24 - 10/30,1383 LV,45,54,+9.0
Gallup,10/22 - 10/28,1500 A,40,54,+14.0
Rasmussen Reports,10/28 - 10/30,1500 LV,49,50,+1.0
Economist/YouGov,10/21 - 10/23,1233 RV,45,52,+7.0
NPR/PBS/Marist,10/21 - 10/23,738 RV,41,53,+12.0
USA Today/Suffolk,10/18 - 10/22,1000 LV,43,54,+11.0
Reuters/Ipsos,10/17 - 10/23,2062 LV,46,52,+6.0
Rasmussen Reports,10/21 - 10/23,1500 LV,46,52,+6.0
Gallup,10/15 - 10/21,1500 A,44,50,+6.0
NBC News/Wall St. Jrnl,10/14 - 10/17,645 LV,45,52,+7.0
CBS News,10/14 - 10/17, RV,42,53,+11.0
Economist/YouGov,10/14 - 10/16,1273 RV,45,52,+7.0
FOX News,10/13 - 10/16,841 LV,47,52,+5.0
Reuters/Ipsos,10/10 - 10/16,1194 LV,45,54,+9.0
Gallup,10/8 - 10/14,1500 A,44,51,+7.0
Rasmussen Reports,10/14 - 10/16,1500 LV,49,50,+1.0
ABC News/Wash Post,10/8 - 10/11,991 RV,43,53,+10.0
Economist/YouGov,10/7 - 10/9,1162 RV,43,53,+10.0
Reuters/Ipsos,10/3 - 10/9,2012 LV,42,57,+15.0
Rasmussen Reports,10/7 - 10/9,1500 LV,49,49,
CNBC,10/4 - 10/7,800 A,41,49,+8.0
CNN,10/4 - 10/7,920 RV,43,52,+9.0
Gallup,10/1 - 10/7,1500 A,43,53,+10.0
Emerson,10/1 - 10/4,1000 RV,43,50,+7.0
NPR/PBS/Marist,10/1 - 10/1,996 RV,43,53,+10.0
Economist/YouGov,9/30 - 10/2,1227 RV,44,53,+9.0
IBD/TIPP,9/27 - 10/3,905 A,40,54,+14.0
Rasmussen Reports,9/30 - 10/2,1500 LV,49,50,+1.0
Reuters/Ipsos,9/26 - 10/2,1840 LV,43,55,+12.0
Harvard-Harris,9/29 - 9/30,1330 RV,45,55,+10.0
Quinnipiac,9/27 - 9/30,1111 RV,41,53,+12.0
Gallup,9/24 - 9/30,1500 A,42,53,+11.0
Harvard-Harris,9/26 - 9/27,1228 RV,46,54,+8.0
Economist/YouGov,9/23 - 9/25,1238 RV,44,53,+9.0
NPR/PBS/Marist,9/22 - 9/24,802 RV,44,49,+5.0
Rasmussen Reports,9/23 - 9/25,1500 LV,47,51,+4.0
Reuters/Ipsos,9/19 - 9/25,1425 LV,45,53,+8.0
Pew Research,9/18 - 9/24,1439 RV,40,55,+15.0
Gallup,9/17 - 9/23,1500 A,40,56,+16.0
FOX News,9/16 - 9/19,818 LV,46,52,+6.0
NBC News/Wall St. Jrnl,9/16 - 9/19,900 RV,44,52,+8.0
Economist/YouGov,9/16 - 9/18,1195 RV,44,53,+9.0
Rasmussen Reports,9/16 - 9/18,1500 LV,47,52,+5.0
Reuters/Ipsos,9/12 - 9/18,1304 LV,47,52,+5.0
Gallup,9/10 - 9/16,1500 A,38,56,+18.0
Economist/YouGov,9/9 - 9/11,1220 RV,44,52,+8.0
Rasmussen Reports,9/9 - 9/11,1500 LV,45,53,+8.0
Reuters/Ipsos,9/5 - 9/11,1226 LV,43,56,+13.0
Quinnipiac,9/6 - 9/9,1038 RV,38,54,+16.0
CNN,9/6 - 9/9,923 RV,37,57,+20.0
NPR/Marist,9/5 - 9/9,777 RV,38,54,+16.0
Gallup,9/3 - 9/9,1500 A,40,54,+14.0
Economist/YouGov,9/2 - 9/4,1254 RV,43,54,+11.0
Reuters/Ipsos,8/29 - 9/4,2012 RV,42,55,+13.0
Rasmussen Reports,9/2 - 9/4,1500 LV,44,54,+10.0
Grinnell/Selzer,8/29 - 9/2,779 LV,43,50,+7.0
Gallup,8/27 - 9/2,1500 A,41,53,+12.0
Emerson,8/29 - 8/31,1000 RV,38,53,+15.0
ABC News/Wash Post,8/26 - 8/29,879 RV,38,60,+22.0
Economist/YouGov,8/26 - 8/28,1249 RV,43,52,+9.0
IBD/TIPP,8/23 - 8/30,902 A,36,56,+20.0
Rasmussen Reports,8/26 - 8/28,1500 LV,47,53,+6.0
USA Today/Suffolk,8/23 - 8/28,1000 RV,40,56,+16.0
Reuters/Ipsos,8/22 - 8/28,2920 RV,40,57,+17.0
NBC News/Wall St. Jrnl,8/22 - 8/25,600 RV,44,52,+8.0
Harvard-Harris,8/22 - 8/23,1330 RV,46,54,+8.0
Gallup,8/20 - 8/26,1500 A,41,54,+13.0
NBC News/Wall St. Jrnl,8/18 - 8/22,900 RV,46,51,+5.0
Economist/YouGov,8/19 - 8/21,1247 RV,44,52,+8.0
FOX News,8/19 - 8/21,1009 RV,45,53,+8.0
Reuters/Ipsos,8/15 - 8/21,1885 RV,43,54,+11.0
Rasmussen Reports,8/19 - 8/21,1500 LV,46,52,+6.0
Monmouth,8/15 - 8/19,725 RV,43,51,+8.0
Gallup,8/13 - 8/19,1500 A,42,52,+10.0
Economist/YouGov,8/12 - 8/14,1250 RV,46,50,+4.0
Reuters/Ipsos,8/8 - 8/14,1860 RV,44,52,+8.0
Quinnipiac,8/9 - 8/13,1175 RV,41,54,+13.0
Rasmussen Reports,8/12 - 8/14,1500 LV,49,49,
CNN,8/9 - 8/12,921 RV,44,53,+9.0
Gallup,8/6 - 8/12,1500 A,39,56,+17.0
Economist/YouGov,8/5 - 8/7,1289 RV,44,51,+7.0
Reuters/Ipsos,8/3 - 8/7,1479 RV,45,52,+7.0
Rasmussen Reports,8/5 - 8/7,1500 LV,47,51,+4.0
Gallup,7/30 - 8/5,1500 A,41,54,+13.0
Economist/YouGov,7/29 - 7/31,1222 RV,43,53,+10.0
IBD/TIPP,7/26 - 8/2,900 A,41,50,+9.0
Rasmussen Reports,7/29 - 7/31,1500 LV,48,50,+2.0
Reuters/Ipsos,7/27 - 7/31,1571 RV,44,54,+10.0
Gallup,7/23 - 7/29,1500 A,40,55,+15.0
Harvard-Harris,7/24 - 7/25,1323 RV,45,55,+10.0
Economist/YouGov,7/22 - 7/24,1203 RV,43,54,+11.0
Rasmussen Reports,7/22 - 7/24,1500 LV,46,52,+6.0
Reuters/Ipsos,7/20 - 7/24,1165 RV,44,53,+9.0
NPR/PBS/Marist,7/19 - 7/22,923 RV,41,51,+10.0
Quinnipiac,7/18 - 7/23,1177 RV,38,58,+20.0
Gallup,7/16 - 7/22,1500 A,42,54,+12.0
NBC News/Wall St. Jrnl,7/15 - 7/18,900 RV,45,52,+7.0
Economist/YouGov,7/15 - 7/17,1272 RV,44,52,+8.0
Rasmussen Reports,7/15 - 7/17,1500 LV,44,54,+10.0
Reuters/Ipsos,7/13 - 7/17,2357 RV,42,54,+12.0
Gallup,7/9 - 7/15,1500 A,43,52,+9.0
FOX News,7/9 - 7/11,1007 RV,46,51,+5.0
Economist/YouGov,7/8 - 7/10,1246 RV,43,52,+9.0
Rasmussen Reports,7/8 - 7/10,1500 LV,47,51,+4.0
Reuters/Ipsos,7/6 - 7/10,1295 RV,41,57,+16.0
Emerson,7/6 - 7/7,900 RV,43,50,+7.0
Gallup,7/1 - 7/8,1500 A,41,56,+15.0
Economist/YouGov,7/1 - 7/3,1263 RV,45,51,+6.0
Reuters/Ipsos,6/28 - 7/2,2252 RV,43,54,+11.0
Quinnipiac,6/27 - 7/1,1020 RV,40,55,+15.0
Gallup,6/25 - 7/1,1500 A,42,53,+11.0
Economist/YouGov,6/24 - 6/26,1278 RV,43,52,+9.0
Harvard-Harris,6/24 - 6/25,1448 RV,47,53,+6.0
IBD/TIPP,6/21 - 6/29,900 A,41,54,+13.0
Reuters/Ipsos,6/22 - 6/26,1199 RV,45,51,+6.0
Rasmussen Reports,6/24 - 6/26,1500 LV,45,54,+9.0
Gallup,6/18 - 6/24,1500 A,41,55,+14.0
Economist/YouGov,6/17 - 6/19,1272 RV,44,50,+6.0
CNBC,6/16 - 6/19,800 A,41,47,+6.0
Rasmussen Reports,6/17 - 6/19,1500 LV,48,50,+2.0
Reuters/Ipsos,6/15 - 6/19,1604 RV,44,53,+9.0
CBS News,6/14 - 6/17,1100 A,42,52,+10.0
USA Today/Suffolk,6/13 - 6/18,1000 RV,43,51,+8.0
Quinnipiac,6/14 - 6/17,905 RV,43,52,+9.0
CNN,6/14 - 6/17,901 RV,41,54,+13.0
Gallup,6/11 - 6/17,1500 A,45,50,+5.0
Monmouth,6/12 - 6/13,711 RV,45,46,+1.0
Economist/YouGov,6/10 - 6/12,1308 RV,45,51,+6.0
Reuters/Ipsos,6/8 - 6/12,2018 RV,43,54,+11.0
Rasmussen Reports,6/10 - 6/12,1500 LV,49,49,
PPP (D),6/8 - 6/10,679 RV,39,54,+15.0
Pew Research,6/5 - 6/12,1608 RV,42,53,+11.0
Gallup,6/4 - 6/10,1500 A,42,54,+12.0
FOX News,6/3 - 6/6,1001 RV,45,51,+6.0
Economist/YouGov,6/3 - 6/5,1292 RV,42,54,+12.0
Reuters/Ipsos,6/1 - 6/5,1265 RV,40,57,+17.0
NBC News/Wall St. Jrnl,6/1 - 6/4,900 RV,44,53,+9.0
Rasmussen Reports,6/3 - 6/5,1500 LV,49,49,
Quinnipiac,5/31 - 6/5,1223 RV,40,51,+11.0
IBD/TIPP,5/29 - 6/5,905 A,36,55,+19.0
Gallup,5/28 - 6/3,1500 A,41,55,+14.0
Economist/YouGov,5/27 - 5/29,1279 RV,45,51,+6.0
Reuters/Ipsos,5/25 - 5/29,1931 RV,44,53,+9.0
Rasmussen Reports,5/27 - 5/29,1500 LV,47,52,+5.0
Gallup,5/21 - 5/27,1500 A,40,55,+15.0
Harvard-Harris,5/21 - 5/22,1347 RV,45,55,+10.0
Rasmussen Reports,5/20 - 5/22,1500 LV,48,51,+3.0
Economist/YouGov,5/20 - 5/22,1263 RV,41,54,+13.0
Reuters/Ipsos,5/18 - 5/22,1080 RV,47,51,+4.0
Gallup,5/14 - 5/20,1500 A,42,54,+12.0
Economist/YouGov,5/13 - 5/15,1231 RV,44,52,+8.0
Rasmussen Reports,5/13 - 5/15,1500 LV,48,50,+2.0
Reuters/Ipsos,5/11 - 5/15,1290 RV,46,53,+7.0
Gallup,5/7 - 5/13,1500 A,43,52,+9.0
Economist/YouGov,5/6 - 5/8,1232 RV,44,52,+8.0
Rasmussen Reports,5/6 - 5/8,1500 LV,47,51,+4.0
Reuters/Ipsos,5/4 - 5/8,1171 RV,45,53,+8.0
CBS News,5/3 - 5/6,1101 A,40,55,+15.0
CNN,5/2 - 5/5,901 RV,44,51,+7.0
Gallup,4/30 - 5/6,1500 A,42,52,+10.0
IBD/TIPP,4/26 - 5/4,900 A,38,56,+18.0
Economist/YouGov,4/29 - 5/1,1273 RV,44,53,+9.0
Reuters/Ipsos,4/27 - 5/1,1337 RV,49,49,
Pew Research,4/25 - 5/1,1221 RV,42,54,+12.0
Monmouth,4/26 - 4/30,681 RV,45,48,+3.0
Rasmussen Reports,4/29 - 5/1,1500 LV,49,49,
Gallup,4/23 - 4/29,1500 A,42,53,+11.0
Harvard-Harris,4/22 - 4/24,1549 RV,44,56,+12.0
FOX News,4/22 - 4/24,1014 RV,44,53,+9.0
Economist/YouGov,4/22 - 4/24,1270 RV,43,53,+10.0
Rasmussen Reports,4/22 - 4/24,1500 LV,48,50,+2.0
Quinnipiac,4/20 - 4/24,1193 RV,39,54,+15.0
Reuters/Ipsos,4/20 - 4/24,1248 RV,41,55,+14.0
Gallup,4/16 - 4/18,1500 A,38,57,+19.0
Economist/YouGov,4/15 - 4/17,1274 RV,42,55,+13.0
Rasmussen Reports,4/15 - 4/17,1500 LV,50,49,+1.0
Reuters/Ipsos,4/13 - 4/17,1238 RV,41,56,+15.0
NPR/PBS/Marist,4/10 - 4/13,827 RV,39,54,+15.0
Gallup,4/9 - 4/15,1500 A,39,55,+16.0
ABC News/Wash Post,4/8 - 4/11,865 RV,44,54,+10.0
NBC News/Wall St. Jrnl,4/8 - 4/11,900 A,39,57,+18.0
Economist/YouGov,4/8 - 4/10,1292 RV,42,53,+11.0
Rasmussen Reports,4/8 - 4/10,1500 LV,49,50,+1.0
Reuters/Ipsos,4/6 - 4/10,1219 RV,39,58,+19.0
Quinnipiac,4/6 - 4/9,1181 RV,41,52,+11.0
Gallup,4/2 - 4/8,1500 A,41,54,+13.0
Economist/YouGov,4/1 - 4/3,1246 RV,41,55,+14.0
Rasmussen Reports,4/1 - 4/3,1500 LV,51,48,+3.0
Reuters/Ipsos,3/30 - 4/3,1519 RV,41,56,+15.0
Harvard-Harris,3/27 - 3/29,1340 RV,44,56,+12.0
Gallup,3/25 - 3/31,1500 A,39,55,+16.0
Economist/YouGov,3/25 - 3/27,1330 RV,41,54,+13.0
Reuters/Ipsos,3/23 - 3/27,1392 RV,41,55,+14.0
Rasmussen Reports,3/25 - 3/27,1500 LV,45,53,+8.0
IBD/TIPP,3/22 - 3/29,902 A,38,56,+18.0
CNN,3/22 - 3/25,913 RV,43,53,+10.0
PPP (D),3/23 - 3/25,846 RV,39,54,+15.0
Gallup,3/19 - 3/25,1500 A,39,55,+16.0
Marist,3/19 - 3/21,1015 RV,42,51,+9.0
FOX News,3/18 - 3/21,1014 RV,45,52,+7.0
Economist/YouGov,3/18 - 3/20,1284 RV,41,54,+13.0
CNBC,3/17 - 3/20,801 A,39,50,+11.0
Quinnipiac,3/16 - 3/20,1291 RV,40,53,+13.0
Reuters/Ipsos,3/16 - 3/20,1337 RV,44,52,+8.0
Rasmussen Reports,3/18 - 3/20,1500 LV,47,52,+5.0
Gallup,3/12 - 3/18,1500 A,40,56,+16.0
NBC News/Wall St. Jrnl,3/10 - 3/14,1100 A,43,53,+10.0
Economist/YouGov,3/10 - 3/13,1291 RV,42,54,+12.0
Pew Research,3/7 - 3/14, RV,42,53,+11.0
